Restaurant__c,Name,Price__c,Category__c,Available__c,Prep_Time_Minutes__c,Allergens__c
001DQ00000N9TWWYA3,Gyros Plate,10.81,Starter,true,28.0,"No known allergens. Ingredients: Salt, Basil, Garlic, Lettuce, Parsley, Rice, Chickpeas, Bell Pepper."
001DQ00000N9TWWYA3,Souvlaki Skewers,5.65,Main,true,15.0,"Contains: Nuts. Ingredients: Parsley, Paprika, Black Pepper, Pistachios, Coriander, Chickpeas, Garlic, Olive Oil."
001DQ00000N9TWWYA3,Greek Salad,15.43,Side,true,11.0,"Contains: Shellfish. Ingredients: Crab, Garlic, Bell Pepper, Chickpeas, Tomato, Parsley, Potato, Rice."
001DQ00000N9TWWYA3,Moussaka,9.34,Dessert,true,32.0,"No known allergens. Ingredients: Carrot, Lime, Chickpeas, Basil, Tomato, Potato, Chilli, Ginger."
001DQ00000N9TWWYA3,Spanakopita,12.72,Drink,true,10.0,"Contains: Dairy, Eggs. Ingredients: Tomato, Paneer, Lettuce, Scallion, Egg Noodles, Carrot, Potato, Chickpeas."
001DQ00000N9TWWYA3,Tzatziki and Pita,17.12,Starter,true,34.0,"Contains: Fish. Ingredients: Potato, Lettuce, Salt, Cumin, Bell Pepper, Carrot, Onion, Eel."
001DQ00000N9TWWYA3,Dolmades,22.38,Main,true,13.0,"Contains: Soy. Ingredients: Lemon, Black Pepper, Olive Oil, Scallion, Salt, Spinach, Soy Sauce, Parsley."
001DQ00000N9TWWYA3,Halloumi Fries,4.74,Side,true,13.0,"No known allergens. Ingredients: Lime, Spinach, Coriander, Chilli, Salt, Chickpeas, Parsley, Onion."
001DQ00000N9TWWYA3,Lamb Kleftiko,12.19,Dessert,true,20.0,"No known allergens. Ingredients: Carrot, Cumin, Chilli, Lettuce, Garlic, Rice, Bell Pepper, Tomato."
001DQ00000N9TWWYA3,Baklava,5.87,Drink,true,20.0,"No known allergens. Ingredients: Salt, Potato, Bell Pepper, Lemon, Lettuce, Chickpeas, Lime, Paprika."
001DQ00000N9TWWYA3,Pastitsio,19.12,Starter,true,23.0,"Contains: Dairy, Soy. Ingredients: Salt, Soy Sauce, Onion, Scallion, Basil, Cheese, Parsley, Coriander."
001DQ00000N9TWWYA3,Keftedes,19.55,Main,true,32.0,"Contains: Shellfish. Ingredients: Lime, Black Pepper, Rice, Olive Oil, Basil, Lobster, Potato, Scallion."
001DQ00000N9TWWYA3,Fava Dip,8.28,Side,true,19.0,"Contains: Eggs. Ingredients: Rice, Olive Oil, Tomato, Mayonnaise, Potato, Lime, Chilli, Bell Pepper."
001DQ00000N9TWWYA3,Octopus Salad,20.09,Dessert,true,29.0,"No known allergens. Ingredients: Spinach, Rice, Cumin, Lime, Black Pepper, Tomato, Potato, Chilli."
001DQ00000N9TWWYA3,Feta Saganaki,5.04,Drink,true,22.0,"Contains: Dairy, Soy. Ingredients: Onion, Coriander, Halloumi, Parsley, Lettuce, Scallion, Lime, Edamame."
001DQ00000N9TWWYA3,Chicken Souvlaki Wrap,5.05,Starter,true,24.0,"No known allergens. Ingredients: Chilli, Chickpeas, Lemon, Parsley, Garlic, Spinach, Coriander, Salt."
001DQ00000N9TWWYA3,Loukoumades,14.87,Main,true,8.0,"Contains: Dairy, Soy. Ingredients: Soy Sauce, Bell Pepper, Parsley, Coriander, Potato, Lettuce, Cumin, Cheese."
001DQ00000N9TWWYA3,Greek Yogurt Bowl,9.35,Side,true,32.0,"No known allergens. Ingredients: Parsley, Carrot, Basil, Scallion, Lime, Onion, Chilli, Tomato."
